"","Metabolite","beta","Std..Error","z.value","pval","lci","uci","OR","Pval","LCI","UCI"
"189","TotCho",0.949521657,0.030334352,-1.707534119,0.087722822,0.894608738,1.007615362,0.949521657,0.087722822,0.894608738,1.007615362
"190","ApoA1",0.93419252,0.030406593,-2.238749265,0.025172235,0.880088076,0.991526411,0.93419252,0.025172235,0.880088076,0.991526411
"191","ApoB",0.977692107,0.030379953,-0.742610664,0.45771743,0.921164198,1.037693266,0.977692107,0.45771743,0.921164198,1.037693266
"192","ApoB.ApoA1",1.010108721,0.030245814,0.332540868,0.739480886,0.951976194,1.071835731,1.010108721,0.739480886,0.951976194,1.071835731
"193","TotFA",1.001155723,0.030391724,0.038005607,0.969683212,0.943281891,1.062666831,1.001155723,0.969683212,0.943281891,1.062666831
"194","UnSat",0.919720218,0.030126362,-2.777825168,0.005472405,0.866882953,0.97558026,0.919720218,0.005472405,0.866882953,0.97558026
"195","DHA",0.980304364,0.029936247,-0.664484762,0.506380099,0.924424917,1.039613756,0.980304364,0.506380099,0.924424917,1.039613756
"196","LA",0.956056229,0.030518254,-1.472513815,0.140882179,0.900508896,1.014975245,0.956056229,0.140882179,0.900508896,1.014975245
"197","FAw3",0.989443793,0.030080452,-0.352797864,0.724239985,0.932804555,1.049603559,0.989443793,0.724239985,0.932804555,1.049603559
"198","FAw6",0.943417953,0.030535393,-1.907487393,0.056457502,0.888566847,1.00158194,0.943417953,0.056457502,0.888566847,1.00158194
"199","PUFA",0.949484213,0.030442895,-1.702741346,0.088616484,0.8944498,1.007848111,0.949484213,0.088616484,0.8944498,1.007848111
"200","MUFA",1.02019117,0.030339796,0.658871656,0.509978188,0.961356192,1.082820555,1.02019117,0.509978188,0.961356192,1.082820555
"201","SFA",1.023502626,0.030388314,0.764461349,0.444592361,0.964379722,1.086426643,1.023502626,0.444592361,0.964379722,1.086426643
"202","DHA.FA",0.980207191,0.030149195,-0.66307939,0.50727971,0.923938152,1.039910659,0.980207191,0.50727971,0.923938152,1.039910659
"203","LA.FA",0.932525997,0.030236582,-2.31038842,0.02086666,0.878734563,0.989351461,0.932525997,0.02086666,0.878734563,0.989351461
"204","FAw3.FA",0.987136798,0.030172812,-0.429083284,0.667862617,0.930438758,1.047324102,0.987136798,0.667862617,0.930438758,1.047324102
"205","FAw6.FA",0.905137416,0.030358426,-3.283059116,0.001026871,0.852710518,0.960500218,0.905137416,0.001026871,0.852710518,0.960500218
"206","PUFA.FA",0.910349547,0.030272987,-3.102655001,0.001917931,0.857778002,0.965884404,0.910349547,0.001917931,0.857778002,0.965884404
"207","MUFA.FA",1.051153675,0.030027236,1.661434954,0.096626123,0.991159573,1.115013118,1.051153675,0.096626123,0.991159573,1.115013118
"208","SFA.FA",1.127431238,0.030511709,3.931009011,8.46e-05,1.062176993,1.197178489,1.127431238,8.46e-05,1.062176993,1.197178489
"209","Glc",1.081807794,0.03090774,2.544136999,0.010954811,1.01875731,1.150142402,1.081807794,0.010954811,1.01875731,1.150142402
"210","Lac",1.019928476,0.030910711,0.63837105,0.523232171,0.960218746,1.084235025,1.019928476,0.523232171,0.960218746,1.084235025
"211","Pyr",1.009060654,0.029526524,0.305483042,0.759998284,0.952538866,1.071373144,1.009060654,0.759998284,0.952538866,1.071373144
"212","Cit",0.982877247,0.030390343,-0.568306934,0.569826571,0.926027274,1.043216757,0.982877247,0.569826571,0.926027274,1.043216757
"213","Glol",0.655352715,0.063412654,-6.663996301,2.66e-11,0.578011013,0.741261661,0.655352715,2.66e-11,0.578011013,0.741261661
"214","Ala",1.042833918,0.02994542,1.400612474,0.161329989,0.983460569,1.105997394,1.042833918,0.161329989,0.983460569,1.105997394
"215","Gln",0.954833432,0.030224415,-1.529173383,0.126221467,0.89985378,1.013070889,0.954833432,0.126221467,0.89985378,1.013070889
"216","Gly",0.978422341,0.030069707,-0.725443073,0.468180257,0.922381415,1.037881617,0.978422341,0.468180257,0.922381415,1.037881617
"217","His",1.031690568,0.030190379,1.033401565,0.301416014,0.972520361,1.094800863,1.031690568,0.301416014,0.972520361,1.094800863
"218","Ile",1.134501904,0.030785181,4.099170479,4.15e-05,1.068263311,1.205317156,1.134501904,4.15e-05,1.068263311,1.205317156
"219","Leu",1.131824568,0.030894566,4.008180359,6.12e-05,1.065600126,1.202830835,1.131824568,6.12e-05,1.065600126,1.202830835
"220","Val",1.110180947,0.030609284,3.414748846,0.000638408,1.045675998,1.179016598,1.110180947,0.000638408,1.045675998,1.179016598
"221","Phe",1.02211513,0.030271401,0.722600748,0.469925209,0.963290804,1.08470959,1.02211513,0.469925209,0.963290804,1.08470959
"222","Tyr",1.137634302,0.030564761,4.218941297,2.45e-05,1.071689738,1.208140515,1.137634302,2.45e-05,1.071689738,1.208140515
"223","Ace",1.024427843,0.030727513,0.785428182,0.432202563,0.965395931,1.090364443,1.024427843,0.432202563,0.965395931,1.090364443
"224","AcAce",0.972826632,0.029976807,-0.919023541,0.358083259,0.917120157,1.031722977,0.972826632,0.358083259,0.917120157,1.031722977
"225","bOHBut",0.924622874,0.031209111,-2.511104167,0.012035418,0.868817829,0.98210654,0.924622874,0.012035418,0.868817829,0.98210654
"226","Crea",0.954822871,0.030094218,-1.536156593,0.124499979,0.899934681,1.012759287,0.954822871,0.124499979,0.899934681,1.012759287
"227","Alb",0.895793023,0.030563644,-3.600548881,0.000317546,0.843549999,0.950950748,0.895793023,0.000317546,0.843549999,0.950950748
"228","Gp",0.987371783,0.030208011,-0.420703966,0.673971265,0.930612265,1.047641326,0.987371783,0.673971265,0.930612265,1.047641326
